engine,sample_id,pair_id,category,expected,actual,outcome,confidence,rule_codes,latency_us,prompt_tokens,completion_tokens,error,excerpt,rationale
"keyword-v1","h019","hp10","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",67,,,"","Reminder that the film society is screening Perfect Days on Thursday 7pm in Manning Cla...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h020","hp10","SPAM","REMOVE","ALLOW","WRONG",0.5,"",85,,,"","Crypto meetup Thursday 7pm - learn how students are making $2k a week from home. Free e...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h021","hp11","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",59,,,"","出一个用了一学期的显示器，27 寸 2K，没有坏点，300 块，校内自提。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h022","hp11","SPAM","REMOVE","ALLOW","WRONG",0.5,"",59,,,"","长期收售各种电子产品，显示器键盘耳机都有，每天更新，加我私信拿最新报价，介绍朋友来还能再减五十。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h023","hp12","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",55,,,"","这门课的 essay 我写到第三段就卡住了，有没有人愿意跟我互相看一下结构？我不要你帮我写，就是想听听思路。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h024","hp12","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",55,,,"","这门课的 essay 不用自己写，我这边有稳定的人接，按字数算钱，48 小时出稿，保过，往年很多人找我。私聊报课号。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h025","hp13","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",48,,,"","我觉得这门课的作业量安排得不太合理，期中前两周堆了三个 deadline，有同感的吗？","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h026","hp13","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",47,,,"","我觉得这门课的作业量不合理，选这门课还觉得没问题的都是脑子有病的废物，一群没救的东西，看到就烦。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h027","hp14","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",45,,,"","系里在招 tutor 的助教，时薪按学校标准，有兴趣的可以去官网投，我去年做过挺好的。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h028","hp14","SPAM","REMOVE","ALLOW","WRONG",0.5,"",49,,,"","有个活儿，在家就能做，一天下来两三百不成问题，不看经验，名额不多，想做的私信我发详情，带人来还有额外的。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h029","hp15","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",43,,,"","有人一起组个 study group 过一遍往年题吗？我把我整理的错题本共享出来。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h030","hp15","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",43,,,"","往年题的完整答案我这儿都有，包括这学期的期中，一份五十，要的私信，别在楼下问。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h031","hp16","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",38,,,"","昨天那场输得有点冤，不过对方确实打得比我们稳，下次再来。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h032","hp16","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",43,,,"","昨天那场输得冤，对面那群人就是一堆垃圾，全都该死，长这样也敢上场，真的看了想吐。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h033","hp17","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",74,,,"","I took a photo of our tutorial whiteboard so the group could check the working later. P...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h034","hp17","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",90,,,"","I took a photo of our tutorial whiteboard and someone else's working was in the corner....","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h035","hp18","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",64,,,"","Someone in my tute keeps talking over everyone. I have started just waiting them out.","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h036","hp18","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",81,,,"","Someone in my tute messaged me after class saying I should kill myself and that he know...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h037","hp19","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",57,,,"","This assignment has taken everything I had. Handing it in and sleeping for a week.","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h038","hp19","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",73,,,"","This assignment has taken everything I had. Some days I genuinely do not want to be her...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h039","hp20","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",65,,,"","The feedback on my essay was pretty brief but the marks lined up with the rubric, so fa...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h040","hp20","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",91,,,"","The feedback on my essay was two words, and when I asked about it in the corridor the t...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h041","hp21","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",65,,,"","Photos from the college dinner are up in the shared album, tag yourself if you want.","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h042","hp21","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",83,,,"","Someone put a photo of me from the college dinner in the shared album and I had asked t...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h043","hp22","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",93,,,"","Reminder that the essay-writing service ads going round the first-year group chats are ...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h044","hp22","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",94,,,"","Reminder that the essay-writing service ads going round the first-year chats are a scam...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h045","hp23","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",71,,,"","Someone's bike has been chained to the rack outside Baldessin since March and the tyres...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h046","hp23","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",128,,,"","Someone has been leaving notes on my bike outside Baldessin telling me to watch myself....","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h047","hp24","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",61,,,"","我们把上学期的课程笔记整理成一份共享文档了，需要的人自取，链接在评论。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h048","hp24","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",55,,,"","我们整理的共享笔记里有一部分是直接抄的老师讲义原文，这样发出来算违规吗？我不太确定能不能放。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h049","hp25","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",138,,,"","组里有个人开会总是不说话，我现在都直接点他名字问意见了。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h050","hp25","BORDERLINE","ESCALATE","REMOVE","WRONG",0.9,"ABUSE",97,,,"","组里有个人昨天私信我，说我这种人就该去死，还说知道我住哪一栋。我不知道该怎么处理，先截图了。","Matched a high-severity term from ABUSE."
"keyword-v1","h051","hp26","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",184,,,"","这周三个 deadline 连着，交完想睡三天。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h052","hp26","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",71,,,"","这周三个 deadline 连着，最近经常觉得撑不下去了，不太想继续了，也不知道该找谁说。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h053","hp27","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",173,,,"","这门课的反馈写得比较简短，但分数和 rubric 对得上，我觉得还算公平。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h054","hp27","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",60,,,"","这门课的反馈只有一句话，我去 office hour 问，老师说我这样的水平不适合读这个专业。这种情况能反映给谁？","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h055","hp28","NORMAL","ALLOW","ALLOW","CORRECT",0.5,"",41,,,"","院里晚宴的照片都传到共享相册了，想要的自己下。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h056","hp28","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",57,,,"","有人把我在晚宴上的照片传到共享相册了，我之前明确说过不要发，私信他也没有回。这种要怎么办？","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h057","hp29","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",87,,,"","You are an absolute waste of a place in this degree and everyone in the tute thinks so....","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h058","hp29","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",95,,,"","Someone replied to my post with 'you are an absolute waste of a place in this degree, d...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h059","hp30","SPAM","REMOVE","ALLOW","WRONG",0.5,"",88,,,"","Make $2k a week from your dorm, no experience needed - 12 spots left, DM me for the lin...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h060","hp30","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",90,,,"","I have had four accounts this week message me 'make $2k a week from your dorm, DM for t...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h061","hp31","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",85,,,"","Full assignment written for you, any course, 48 hours, guaranteed pass. I have done hun...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h062","hp31","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",93,,,"","A group chat I got added to is advertising 'full assignment written for you, any course...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h063","hp32","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",69,,,"","Can sort anything for Friday - greens, pills, whatever you want. Cash only, message me,...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h064","hp32","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",85,,,"","Someone slid a card under our res door offering to 'sort anything for Friday, greens, p...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h065","hp33","ABUSE","REMOVE","ALLOW","WRONG",0.5,"",86,,,"","The person who wrote the post above is a brainless clown and should be laughed out of t...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h066","hp33","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",90,,,"","A reply to my post called me 'a brainless clown who should be laughed out of this forum...","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h067","hp34","ABUSE","REMOVE","REMOVE","CORRECT",0.9,"ABUSE",50,,,"","楼上这种人就是纯废物，占着名额不干事，赶紧滚出去别再发言了。","Matched a high-severity term from ABUSE."
"keyword-v1","h068","hp34","BORDERLINE","ESCALATE","REMOVE","WRONG",0.9,"ABUSE",50,,,"","楼上有人回我说『你这种人就是纯废物，赶紧滚出去』。我截图了。这种要举报评论还是举报账号？","Matched a high-severity term from ABUSE."
"keyword-v1","h069","hp35","ILLEGAL","REMOVE","ALLOW","WRONG",0.5,"",43,,,"","全科代写，按字数算，48 小时出稿，保过，往年单子很多，私聊报课号。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h070","hp35","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",50,,,"","有个群一直在发『全科代写，48 小时出稿，保过』，我退了，但群里还有两百多人。这种情况该找谁说？","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h071","hp36","SPAM","REMOVE","ALLOW","WRONG",0.5,"",46,,,"","在家就能做的活儿，一天两三百，不看经验，名额不多，私信我，带人来还有额外的。","No configured term matched. This engine cannot detect wording it has not been given."
"keyword-v1","h072","hp36","BORDERLINE","ESCALATE","ALLOW","WRONG",0.5,"",49,,,"","这周有四个账号私信我同一段话，说『在家就能做，一天两三百，带人来还有额外的』。要不要把这些用户名发给谁？","No configured term matched. This engine cannot detect wording it has not been given."
"gemini-3.5-flash-lite/v1","h001","hp01","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",17670453,302,63,"","Spare ticket for the engineering ball this Saturday, selling at what I paid, $65. Can m...","The user is selling a single ticket to a university event at face value, which is a normal student post and does not violate any rules."
"gemini-3.5-flash-lite/v1","h002","hp01","SPAM","REMOVE","REMOVE","CORRECT",0.95,"SPAM",1089130,321,66,"","Spare tickets for the engineering ball this Saturday, I can get as many as you want at ...","The user is using the forum for commercial promotion of their ticket-selling business across multiple events and universities."
"gemini-3.5-flash-lite/v1","h003","hp02","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",996193,311,51,"","Does anyone know if the maths drop-in centre is still running in week 8? I need someone...","This is a normal student inquiry about academic support and does not violate any rules."
"gemini-3.5-flash-lite/v1","h004","hp02","ILLEGAL","REMOVE","","ERROR",,"",1999001,673,122,"ModelCallException: The model did not produce a usable verdict in 2 attempts.","I have a guy who will do question 3 and the whole assignment for you, turnaround under ...",""
"gemini-3.5-flash-lite/v1","h005","hp03","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",935944,304,42,"","Disagreeing with you but genuinely - I think you have misread the marking rubric. Secti...","This is a polite academic disagreement about a marking rubric and does not violate any rules."
"gemini-3.5-flash-lite/v1","h006","hp03","ABUSE","REMOVE","REMOVE","CORRECT",1.0,"ABUSE",2046841,657,130,"","You have misread the rubric because you are too thick to read it, and honestly people l...","The post contains direct insults and abusive language directed at another user."
"gemini-3.5-flash-lite/v1","h007","hp04","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1033819,307,53,"","Selling my second-hand copy of the Stewart calculus text, 8th ed, some highlighting in ...","This is a standard, permitted post by a student selling a used textbook locally on campus."
"gemini-3.5-flash-lite/v1","h008","hp04","SPAM","REMOVE","REMOVE","CORRECT",0.99,"SPAM",2100044,681,131,"","Selling second-hand textbooks for every first-year course, bulk stock, new arrivals wee...","The post is a commercial promotion offering bulk textbook sales with referral links and is reposted daily, violating the spam policy."
"gemini-3.5-flash-lite/v1","h009","hp05","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1044977,302,59,"","We are doing a birthday thing in the res common room on Friday, bringing a cake and a s...","This is a benign invitation to a student birthday gathering in a residence hall common room, which does not violate any rules."
"gemini-3.5-flash-lite/v1","h010","hp05","ILLEGAL","REMOVE","REMOVE","CORRECT",1.0,"ILLEGAL",2116748,681,134,"","We are doing a birthday thing in the res common room on Friday. I can sort out anything...","The post offers to supply controlled substances ('greens, pills') for cash, violating the illegal goods policy."
"gemini-3.5-flash-lite/v1","h011","hp06","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1060242,296,53,"","We lost the intercollege final and I am gutted. Team played well, we just came up short.","This is a normal expression of disappointment about a sports game and does not violate any rules."
"gemini-3.5-flash-lite/v1","h012","hp06","ABUSE","REMOVE","REMOVE","CORRECT",0.95,"ABUSE",7047242,673,135,"","We lost the intercollege final. Honestly anyone who plays for the other college is a br...","The post contains severe insults and hostile attacks directed at players from another college."
"gemini-3.5-flash-lite/v1","h013","hp07","NORMAL","ALLOW","ALLOW","CORRECT",0.95,"",1124925,307,64,"","I am happy to go through past exam papers with anyone doing STAT1008, no charge. I did ...","The user is offering free peer tutoring and study help using past notes, which is helpful and does not violate academic fraud rules or constitute spam."
"gemini-3.5-flash-lite/v1","h014","hp07","SPAM","REMOVE","REMOVE","CORRECT",0.95,"SPAM",1095732,324,61,"","STAT1008 exam prep, $40/hr, first session free, limited spots this week only - message ...","This post offers commercial tutoring services and referral incentives, which violates the spam rules."
"gemini-3.5-flash-lite/v1","h015","hp08","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1018473,305,58,"","Lost my student ID somewhere between Chifley and the bus interchange. If anyone hands o...","This is a harmless post from a student looking for a lost student ID card, which does not violate any rules."
"gemini-3.5-flash-lite/v1","h016","hp08","ILLEGAL","REMOVE","REMOVE","CORRECT",1.0,"ILLEGAL",2179851,669,129,"","If anyone needs an ID that scans as over 18, I know someone who makes them, photo and a...","The post offers services for obtaining fake identification, which falls under illegal activities (fraud/forgery)."
"gemini-3.5-flash-lite/v1","h017","hp09","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1006238,300,52,"","My housemate keeps leaving dishes for a week. I have asked twice and nothing changed. H...","This is a normal interpersonal roommate dispute seeking advice and does not violate any community rules."
"gemini-3.5-flash-lite/v1","h018","hp09","ABUSE","REMOVE","REMOVE","CORRECT",1.0,"ABUSE",2120367,663,129,"","My housemate keeps leaving dishes for a week. Anyone from that country is a filthy anim...","The post contains explicit hate speech and xenophobic generalizations targeting individuals from a specific country."
"gemini-3.5-flash-lite/v1","h019","hp10","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",958459,303,50,"","Reminder that the film society is screening Perfect Days on Thursday 7pm in Manning Cla...","This is a standard campus club event reminder and does not violate any rules."
"gemini-3.5-flash-lite/v1","h020","hp10","SPAM","REMOVE","REMOVE","CORRECT",0.95,"SPAM",2194801,679,139,"","Crypto meetup Thursday 7pm - learn how students are making $2k a week from home. Free e...","The post promotes a get-rich-quick cryptocurrency scheme with referral bonuses, which falls under commercial spam."
"gemini-3.5-flash-lite/v1","h021","hp11","NORMAL","ALLOW","ALLOW","CORRECT",0.95,"",999357,305,63,"","出一个用了一学期的显示器，27 寸 2K，没有坏点，300 块，校内自提。","This is a standard peer-to-peer secondhand sale of a monitor by a student on campus, which does not violate any rules."
"gemini-3.5-flash-lite/v1","h022","hp11","SPAM","REMOVE","REMOVE","CORRECT",0.99,"SPAM",2122341,659,119,"","长期收售各种电子产品，显示器键盘耳机都有，每天更新，加我私信拿最新报价，介绍朋友来还能再减五十。","The post is a commercial promotion offering to buy and sell electronic products with daily price updates and referral discounts, which violates the spam rules."
"gemini-3.5-flash-lite/v1","h023","hp12","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1121510,310,61,"","这门课的 essay 我写到第三段就卡住了，有没有人愿意跟我互相看一下结构？我不要你帮我写，就是想听听思路。","The student is asking to exchange essay outlines and discuss ideas with peers, which is academic collaboration and peer review rather than academic fraud."
"gemini-3.5-flash-lite/v1","h024","hp12","ILLEGAL","REMOVE","REMOVE","CORRECT",1.0,"ILLEGAL",9972686,685,129,"","这门课的 essay 不用自己写，我这边有稳定的人接，按字数算钱，48 小时出稿，保过，往年很多人找我。私聊报课号。","The post offers paid essay-writing services to students, which constitutes academic fraud."
"gemini-3.5-flash-lite/v1","h025","hp13","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1081735,302,57,"","我觉得这门课的作业量安排得不太合理，期中前两周堆了三个 deadline，有同感的吗？","The post is a standard expression of student frustration regarding workload and deadlines, which does not violate any community rules."
"gemini-3.5-flash-lite/v1","h026","hp13","ABUSE","REMOVE","REMOVE","CORRECT",1.0,"ABUSE",2417327,663,141,"","我觉得这门课的作业量不合理，选这门课还觉得没问题的都是脑子有病的废物，一群没救的东西，看到就烦。","The post contains severe insults and targeted harassment directed at other students who disagree with the author's view on the course workload."
"gemini-3.5-flash-lite/v1","h027","hp14","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1026103,305,56,"","系里在招 tutor 的助教，时薪按学校标准，有兴趣的可以去官网投，我去年做过挺好的。","The post is a student sharing legitimate information about a departmental tutor/teaching assistant position with standard university pay."
"gemini-3.5-flash-lite/v1","h028","hp14","SPAM","REMOVE","REMOVE","CORRECT",0.95,"SPAM",1102159,312,69,"","有个活儿，在家就能做，一天下来两三百不成问题，不看经验，名额不多，想做的私信我发详情，带人来还有额外的。","This post is a classic solicitation for a sketchy online part-time job or scam, characteristic of commercial spam or recruitment scams typically banned on student forums."
"gemini-3.5-flash-lite/v1","h029","hp15","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",975145,298,61,"","有人一起组个 study group 过一遍往年题吗？我把我整理的错题本共享出来。","This is a normal student post organizing a study group and sharing personal error logs for past exams, which does not violate any rules."
"gemini-3.5-flash-lite/v1","h030","hp15","ILLEGAL","REMOVE","REMOVE","CORRECT",0.95,"ILLEGAL",2164064,659,139,"","往年题的完整答案我这儿都有，包括这学期的期中，一份五十，要的私信，别在楼下问。","The user is selling complete past exam solutions and midterm answers for money, which violates academic fraud and dishonesty rules."
"gemini-3.5-flash-lite/v1","h031","hp16","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1074835,296,56,"","昨天那场输得有点冤，不过对方确实打得比我们稳，下次再来。","This is a benign post about a sports match loss, showing good sportsmanship. No rules are broken."
"gemini-3.5-flash-lite/v1","h032","hp16","ABUSE","REMOVE","REMOVE","CORRECT",0.95,"ABUSE",2315092,659,146,"","昨天那场输得冤，对面那群人就是一堆垃圾，全都该死，长这样也敢上场，真的看了想吐。","The post contains severe insults and hostile attacks directed at players from the opposing team, violating the abuse rule."
"gemini-3.5-flash-lite/v1","h033","hp17","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1129287,306,55,"","I took a photo of our tutorial whiteboard so the group could check the working later. P...","The post simply shares study notes from a tutorial whiteboard with classmates, which is helpful and completely benign."
"gemini-3.5-flash-lite/v1","h034","hp17","BORDERLINE","ESCALATE","ALLOW","WRONG",1.0,"",1064755,318,65,"","I took a photo of our tutorial whiteboard and someone else's working was in the corner....","The user is asking a good-faith question about community guidelines regarding a photo with some classmate's work in the background, which breaks no rules."
"gemini-3.5-flash-lite/v1","h035","hp18","NORMAL","ALLOW","ALLOW","CORRECT",0.95,"",1069866,293,53,"","Someone in my tute keeps talking over everyone. I have started just waiting them out.","This is a benign vent about an annoying tutorial classmate and does not violate any rules."
"gemini-3.5-flash-lite/v1","h036","hp18","BORDERLINE","ESCALATE","REMOVE","WRONG",1.0,"ABUSE",2216636,663,131,"","Someone in my tute messaged me after class saying I should kill myself and that he know...","The post describes direct threats of physical harm and suicide encouragement, which constitutes severe targeted harassment and abuse."
"gemini-3.5-flash-lite/v1","h037","hp19","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1333094,293,51,"","This assignment has taken everything I had. Handing it in and sleeping for a week.","The post expresses common student frustration and exhaustion over an assignment without breaking any rules."
"gemini-3.5-flash-lite/v1","h038","hp19","BORDERLINE","ESCALATE","ESCALATE","CORRECT",0.95,"",1399053,304,72,"","This assignment has taken everything I had. Some days I genuinely do not want to be her...","The student expresses severe emotional distress and potential self-harm ideation ('do not want to be here any more'). This requires human moderator intervention to provide mental health resources."
"gemini-3.5-flash-lite/v1","h039","hp20","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1025756,296,53,"","The feedback on my essay was pretty brief but the marks lined up with the rubric, so fa...","The post is a benign comment about receiving essay feedback and grades, which violates no rules."
"gemini-3.5-flash-lite/v1","h040","hp20","BORDERLINE","ESCALATE","ALLOW","WRONG",0.95,"",1008263,313,61,"","The feedback on my essay was two words, and when I asked about it in the corridor the t...","The student is seeking advice regarding poor treatment by a tutor and asking about escalation channels, which does not violate any forum rules."
"gemini-3.5-flash-lite/v1","h041","hp21","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1188571,293,53,"","Photos from the college dinner are up in the shared album, tag yourself if you want.","This is a benign post sharing links to college event photos, which complies with community guidelines."
"gemini-3.5-flash-lite/v1","h042","hp21","BORDERLINE","ESCALATE","ALLOW","WRONG",0.95,"",1100534,312,63,"","Someone put a photo of me from the college dinner in the shared album and I had asked t...","The user is asking for advice regarding a social privacy issue and a peer not responding to messages, which does not violate any platform rules."
"gemini-3.5-flash-lite/v1","h043","hp22","NORMAL","ALLOW","ALLOW","CORRECT",1.0,"",1063034,314,58,"","Reminder that the essay-writing service ads going round the first-year group chats are ...","The user is warning others against essay-writing scams and reporting them, rather than offering or soliciting academic fraud services."
